,29,9,3,46,58,55,45,18,60,32,11,24,49,56,6,65,16,19,39,27,22,17,5,47,33,50,26,67,54,20,37,2,41,42,44
Label,A,A,C,C,B,B,C,B,A,B,B,A,B,A,A,B,B,A,C,A,B,C,C,B,C,C,B,B,A,C,B,B,A,C,C
['1+26'],327253.436,270059.124,122793.306,168864.345,409416.419,484769.748,290291.76,257584.239,381003.591,264171.902,211927.932,286361.088,380163.731,0.0,273592.829,179444.473,235367.681,264937.411,218625.214,477076.525,213453.633,204807.972,123359.826,334954.002,221023.334,289394.032,0.0,481778.875,677855.457,253886.643,335291.051,142773.443,431838.742,459543.028,335657.042
['1+27'],1112521.5,3802761.82,2800137.17,0.0,0.0,0.0,0.0,3355682.74,0.0,0.0,2690609.16,2178171.57,0.0,0.0,2835934.22,0.0,2910732.49,3013271.9,0.0,1943794.78,2131369.75,0.0,2777585.2,0.0,0.0,1002288.92,0.0,0.0,0.0,0.0,0.0,2864602.27,0.0,0.0,0.0
['1+28'],12404909.5,17589524.9,12761086.2,0.0,0.0,0.0,14962454.9,14271408.4,0.0,13071262.0,17020562.3,16958206.1,0.0,0.0,18013650.7,0.0,15878125.5,15276125.2,10176091.4,20967218.7,17463704.0,14683587.2,12820089.7,0.0,10268958.3,0.0,0.0,0.0,0.0,13770921.5,14674031.4,16451755.1,13928549.4,0.0,0.0
['1+29'],4613372.5,6245014.13,7784100.94,0.0,0.0,0.0,0.0,7990418.03,0.0,4572280.23,0.0,6781891.05,0.0,0.0,0.0,0.0,8296914.71,7803692.95,4525163.58,9909002.01,7112396.35,8298204.28,10570981.9,0.0,5120832.41,0.0,0.0,0.0,0.0,7554043.62,4147400.58,7384218.37,0.0,0.0,12148231.8
['1+30'],35358.63,85587.095,61567.67,46825.991,40496.808,71029.261,54138.026,116655.102,33824.285,42544.375,81290.491,0.0,0.0,0.0,105132.058,0.0,55816.84,67505.629,41461.085,89467.595,0.0,68770.617,96395.522,81174.202,36172.235,35912.0,0.0,29537.286,55215.267,50144.475,49840.557,107117.311,51267.134,23262.42,30826.299
['1+31'],24494.932,56385.789,0.0,32341.819,52382.633,0.0,38136.303,118315.453,50468.243,51664.581,54659.934,124350.98,35301.672,0.0,59798.076,0.0,127881.055,126784.956,54597.155,131136.021,123183.149,128461.614,93184.76,39527.224,28070.825,33054.377,0.0,34354.96,0.0,120841.61,57541.886,49350.484,55532.889,0.0,37499.792
['1+32'],3283.167,0.0,4184.224,5088.825,0.0,0.0,0.0,7570.043,0.0,0.0,0.0,13408.026,0.0,0.0,3285.846,0.0,5364.336,0.0,2972.986,0.0,0.0,10026.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.962,0.0,3847.657,4515.082,0.0,0.0
['1+33'],6959.696,27000.51,1488.887,4197.341,18222.972,43594.713,3819.355,5845.499,10684.2,7558.214,20318.088,12528.379,34309.765,0.0,6870.915,5537.104,5432.361,5933.486,0.0,5673.355,0.0,3079.216,0.0,38547.232,3059.445,5524.961,0.0,27650.721,0.0,3744.164,17361.481,7196.482,15205.906,0.0,0.0
['1+34'],57968.517,74870.177,91243.011,122579.385,96261.818,97017.125,120251.018,153930.255,93322.63,57137.863,67998.324,120834.585,0.0,0.0,83752.902,0.0,123340.291,136506.128,81022.903,125908.991,128186.709,136330.327,99947.802,93372.684,88000.642,143147.309,0.0,41015.288,86011.957,162775.233,61857.604,72195.776,64901.352,84027.739,144904.34
['1+35'],0.0,30119.962,10925.924,0.0,4692.675,0.0,17774.315,7137.461,0.0,0.0,7902.574,12705.077,0.0,0.0,24067.635,0.0,7680.59,0.0,0.0,6019.998,0.0,4312.395,50856.247,4279.003,0.0,6737.835,0.0,0.0,0.0,4080.248,0.0,14615.641,0.0,0.0,0.0
