,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Label,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C,A
['1+20'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479293.822,397637.353,312892.63,429220.169,167084.468,1587642.63,0.0,12273525.8,203301.032,4940328.26,9823830.1,23963980.2,36335.518,18927284.4,14447577.3,13843161.0,5297087.56,166214.685,23074222.3,16172575.0,15188005.7,20368012.7,20694681.4,19925512.2,24276086.2,92372.397,22947468.9,40214780.9,59920209.3,19699410.0,145937849.0,49429999.6,67029267.6,34290012.2,40820163.4,353148259.0,7084805.01,145608.177,375613965.0,74095592.1,0.0,65910836.7,61676073.6,62379625.1,117793157.0,113207530.0,103517535.0,0.0,111772717.0,1048286.21,125480368.0,76850147.2,0.0,119909510.0,0.0
['1+21'],10565953.8,10187414.4,9029827.22,8835980.27,8139793.36,0.0,8359925.53,10002743.3,10754812.2,7807722.06,7409263.91,6630707.17,8858506.28,0.0,9393165.96,9443146.86,10346894.1,8657758.44,11233674.0,10427481.1,10742864.5,11106984.9,12405276.3,10827974.9,9990843.71,0.0,8675032.9,9645325.03,10947713.8,8024824.16,10084050.0,0.0,6592346.95,9582327.88,9569814.94,6102869.34,12736938.6,8673195.05,7255909.1,8189488.54,9693760.99,2845966.33,36991999.9,4099294.24,0.0,0.0,0.0,0.0,37511643.1,0.0,0.0,0.0,3527679.94,4854034.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+22'],162788.856,78223.709,0.0,0.0,0.0,0.0,71685.553,0.0,0.0,75736.323,124337.49,0.0,0.0,0.0,0.0,135761.133,0.0,356437.481,0.0,0.0,0.0,86428.191,97196.563,0.0,77953.108,17431102.0,0.0,277319.248,0.0,0.0,0.0,120581.473,0.0,0.0,0.0,0.0,179486.917,0.0,0.0,242879.788,0.0,0.0,0.0,0.0,0.0,0.0,243958.906,217256.199,204656.043,0.0,0.0,0.0,0.0,0.0,437467.803,0.0,255454.922,252091.88,0.0,0.0,135166.531,0.0,0.0,0.0,0.0,0.0,110229.857,159839.073,0.0,0.0
['1+23'],753766.974,572702.254,449998.807,1132049.52,258000.564,726965.608,1010746.43,0.0,898822.729,1413537.89,1026645.66,1200877.02,1147597.2,0.0,564027.303,633822.503,409935.443,735107.57,696669.176,0.0,376785.504,792667.461,715498.674,743711.764,0.0,0.0,0.0,974862.053,0.0,510891.401,0.0,535908.627,236613.582,256007.346,176122.294,349148.525,817204.737,504659.551,313833.188,774328.832,1005011.14,319922.405,0.0,305417.987,0.0,344210.408,1170841.32,1149480.19,1064238.17,291589.636,0.0,496603.407,510678.882,1914531.47,2070627.07,0.0,233883.005,307113.952,186444.293,229139.934,53068.469,0.0,0.0,0.0,0.0,0.0,106984.344,70340.295,0.0,379298.997
['1+24'],676108.372,706851.344,240300.764,650444.818,136293.454,707155.821,1222579.67,0.0,796219.072,960939.128,1104382.69,914785.359,237748.409,0.0,1666812.09,2189053.78,519793.224,1016656.74,1289634.47,1231707.81,1895952.32,2178680.02,2714271.84,1777773.81,1513508.7,0.0,1907154.38,2390910.06,1895968.28,1917412.3,1723000.0,1521011.73,914043.656,2357205.46,1303951.01,1626579.64,2410521.38,3331018.31,1232808.07,2307948.93,1114053.0,2453777.56,3214110.9,0.0,1183254.94,3675179.86,3006713.25,3064135.64,2368711.48,3217254.99,0.0,6887017.77,5488552.1,4989401.36,2903051.03,482.283,3388588.11,1917936.52,0.0,1626861.96,1210888.31,7914.998,29230.048,0.0,0.0,3807.164,1346785.48,0.0,2719217.5,3269489.54
['1+25'],5362.438,4986.956,5185.113,5335.631,0.0,4975.633,5669.946,3271.3,7943.752,5770.658,5480.761,5210.343,3560.746,0.0,7860.968,3058.403,5031.773,3844.798,4706.375,2015.703,0.0,7574.955,6561.875,3844.227,6002.178,0.0,7050.78,3056.516,3107.439,0.0,3944.448,3241.953,0.0,4151.357,3235.791,3100.191,4799.318,4836.541,0.0,5473.665,3711.727,0.0,3969.506,0.0,5724.639,3646.401,4673.415,5263.019,5119.244,4163.199,0.0,0.0,0.0,0.0,0.0,0.0,3431.66,3428.2,3237.335,4104.862,2819.571,0.0,0.0,0.0,0.0,0.0,0.0,4116.082,5564.436,3914.324
['1+26'],140476.301,142773.443,122793.306,160946.088,123359.826,273592.829,236435.176,216936.08,270059.124,333216.149,211927.932,271651.244,277611.157,0.0,242582.508,235367.681,204807.972,257584.239,264937.411,253886.643,256774.636,213453.633,273622.517,286361.088,279962.219,0.0,477076.525,288643.064,327253.436,353864.133,280687.34,264171.902,221023.334,322183.106,249570.788,362485.434,335291.051,372052.08,218625.214,458584.74,431838.742,459543.028,350136.879,335657.042,290291.76,168864.345,334954.002,403789.916,380163.731,289394.032,0.0,474556.076,404721.963,677855.457,484769.748,0.0,389284.318,409416.419,383267.055,381003.591,344638.289,232466.988,232046.953,185183.876,179444.473,291777.546,481778.875,548084.606,936863.624,804698.337
['1+27'],2519431.31,2864602.27,2800137.17,2636436.96,2777585.2,2835934.22,2821433.75,5096588.99,3802761.82,2693464.12,2690609.16,2586330.98,2530808.53,302957.59,3390833.47,2910732.49,0.0,3355682.74,3013271.9,0.0,2712825.67,2131369.75,2212860.2,2178171.57,1820064.52,0.0,1943794.78,1716759.12,1112521.5,1407798.19,0.0,0.0,0.0,1424049.64,0.0,0.0,0.0,0.0,0.0,1560725.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002288.92,182009.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+28'],18288941.5,16451755.1,12761086.2,18264836.5,12820089.7,18013650.7,18482520.4,17875251.0,17589524.9,17152804.4,17020562.3,18269250.7,13767885.0,0.0,15825624.5,15878125.5,14683587.2,14271408.4,15276125.2,13770921.5,14065472.9,17463704.0,17923046.8,16958206.1,18617482.9,0.0,20967218.7,18527552.7,12404909.5,13521982.2,10102187.0,13071262.0,10268958.3,10483049.4,10443284.8,11721688.6,14674031.4,14898812.9,10176091.4,14766320.5,13928549.4,0.0,15344929.5,0.0,14962454.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+29'],8255603.33,7384218.37,7784100.94,0.0,10570981.9,0.0,9390827.28,0.0,6245014.13,4782846.54,0.0,4180314.29,7636716.69,538714.605,7633911.12,8296914.71,8298204.28,7990418.03,7803692.95,7554043.62,7454351.78,7112396.35,0.0,6781891.05,7417400.95,0.0,9909002.01,8113536.04,4613372.5,4733821.53,3180824.67,4572280.23,5120832.41,5288525.95,4901423.46,3641477.78,4147400.58,4310782.07,4525163.58,4290390.24,0.0,0.0,0.0,12148231.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38730.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
