,63,10,73,72,60,18,69,43,42,35,51,32,30,56,15,1,6,70,20,37,22,78,74,65,34,23,48,28,12,3,7,54,64,4,75,29,27,62,40
['9'],1631.25089854,2371.0,1707.20321764,1895.79521259,1747.02664658,2377.64955609,1579.92466568,1703.15349786,1872.29902277,1882.8304312,2150.00817184,2165.2666946,1893.41721945,1978.29282922,1520.1185557,2495.86093138,2083.17943251,2418.97719453,1545.65115141,1720.95201781,2035.96001473,1826.68881517,1692.14308825,1945.29443286,2014.03272167,1961.9078344,1481.12600924,2081.87608684,1920.90778269,1903.76376582,2352.54900005,2087.64026498,1753.43646413,2283.18647881,2092.30225479,1752.77435248,1704.8411349,1987.7183527,2246.05683318
['10'],131599.81738669,126685.0,102485.46916429,130260.72832459,148410.64483578,151884.84528183,109535.02102916,114817.88758404,107550.86873431,107486.57402535,150413.25629584,116893.29454729,108915.55077055,159413.94568999,112044.92415938,143971.96030478,140643.59613302,141345.97729301,117134.08824375,104040.77949628,125874.64967056,100796.19984127,103873.66840192,134742.97775082,109138.6147253,112450.01737512,94394.11499575,113464.51457169,124377.48171977,131211.50266247,147959.52023866,148111.08769469,144292.82450188,138329.44787746,112184.28791331,111167.05408398,101662.67985378,144178.78765926,128919.35897553
['11'],9355.87250041,6016.0,8270.81947186,7820.02425447,12697.16018026,7688.84288795,11806.08340116,8508.91834655,11971.9590255,9210.69406166,5727.68527212,5114.87319751,12150.02257235,13281.90421436,10282.92855905,6864.53380981,0.0,7550.63539136,9427.53384385,8772.68689496,9406.36274962,6568.62861389,8675.97039242,7171.82237507,8233.40236419,9561.96508814,6630.92343723,10404.84475645,7628.62944925,7590.98885468,8403.79220453,10989.37472096,6708.04805192,7458.17642338,9726.21299175,10787.1930796,10748.06571248,9712.81781817,11171.71216758
['12'],5272.57943489,5074.0,5086.09224894,4436.09791868,4400.75224818,3204.71168783,4358.03915023,5934.7821953,4402.10253265,5896.91250274,4749.06868336,5332.62192616,5018.15104576,0.0,4716.8573243,5363.10792402,5504.57655849,3722.2878415,5128.32510252,5374.84875875,4921.56367807,5272.83215035,5511.72261043,4542.88926623,5879.6946179,4894.25936546,5095.6386073,4045.8245522,5238.65072233,6364.87885779,5008.51485569,4919.64872461,4599.30998848,5813.86322534,4935.78132609,4756.53937079,0.0,4560.86060379,3800.00780877
['13'],13496.56355672,12944.0,14940.987938,14311.2102947,12734.28309033,11434.65781846,13643.70919372,16572.64241418,15725.11196214,14022.87142045,11276.20319659,14191.440101,16485.82892204,12504.52627334,15040.83549836,10677.34926104,11766.44865965,13025.96783547,14410.44108387,17670.42566664,14939.85183994,15037.29301258,15669.3645833,12102.37771563,15044.05816065,14048.66145705,15963.90108049,14313.46505675,12097.25663038,11423.8492375,13162.30866511,10512.06992439,12603.97816256,11198.31981934,12634.42762611,16223.56841296,15733.72109798,11608.63823333,12768.69563172
['14'],51513.54878321,69228.0,79485.58226479,69466.38002304,43691.41527786,62308.22328133,64802.19972122,108767.81148574,79793.913509,71450.88568894,47362.54816092,72916.93906287,74873.338159,49498.06605696,58702.23225931,39859.84398512,39066.38745117,76058.06835802,58191.77221865,86347.7253948,62318.57497605,74881.43480821,73879.08681919,51655.92406581,77194.29448163,63404.65711964,104106.20438384,79465.07416437,67588.76444024,36840.29882168,64259.20286369,45374.63955364,52194.72780004,40313.02158909,70021.89355661,71637.13646431,79162.55253263,50466.71676064,87991.25800443
['15'],1799252.52168905,1972598.0,2143948.89516095,1977214.84866233,1701987.55717272,1902276.18270867,2035552.30009771,2469902.4722748,2143322.8612089,2024639.59889158,1763445.54751067,2018274.08217056,2139865.11922861,1753862.2092754,2045944.88191997,1660639.33458321,1664751.44434188,2032629.21170442,1953525.97395459,2192827.53333552,1922055.44505806,2085467.40217688,2082130.05014835,1865952.88342912,2144568.57557647,1936109.91418145,2367997.890579,2118789.70020172,1997820.88879919,1601656.84913282,1965574.98855438,1686480.3571898,1879629.67144684,1659585.64418938,1997118.99144219,2092646.08642575,2157850.05524764,1800092.26234522,2225266.1644709
['16'],9400.64293323,7396.0,8766.87921402,7763.4333526,10504.65861285,6319.44493212,10038.30183926,8079.70540071,8432.67836627,9286.0072789,0.0,8131.1374745,8962.17483872,7897.08763533,9069.39931543,8280.44316834,9319.42202016,6678.70221205,9775.83307903,8947.75952237,9474.60721939,9750.49001086,10124.15786936,8609.90101607,9260.43324668,8516.78204541,8671.29813835,6990.61333081,7667.02684955,9031.16144399,8020.2476582,7561.87170561,8396.88422527,9250.27997962,0.0,8065.53686209,7764.0025887,8028.02229662,7443.42517307
['17'],27875.90821194,22999.0,60611.63379351,25759.34014673,24616.98912241,30678.95150387,26120.53805127,27514.14796176,24888.62245349,62473.99982411,27067.87714227,22844.7301391,27459.31299576,24443.97920197,32181.61536438,30035.84770387,27664.72153418,25541.01342201,27546.13042147,28580.9041685,55232.52419852,26746.03068891,61244.81704719,29854.93043076,27819.04140943,29213.74189606,56694.86633454,25810.2742313,23735.81999228,30922.54478713,24151.55435743,28203.03127715,27673.14956449,28345.49248254,29444.90978177,52636.41502056,25760.59881304,25935.64014991,23403.69703927
['18'],8376.66277736,6384.0,7449.18352662,7427.03188039,11843.33324867,7253.74164726,10715.06835002,7781.76769097,10324.53142583,8228.25000382,6571.35936487,5708.1273868,9729.06835402,12329.75026729,9798.02998179,7326.32305703,7489.08556199,7470.0708052,8366.21799254,7992.60137823,8585.15429676,6835.23902732,7975.19594032,7615.20093913,7852.55460932,9229.14143766,6933.50641368,9401.32605446,7125.31217502,7778.45195338,7433.712962,9033.56149503,6962.98848519,7963.22378923,8887.09352355,9143.09998644,9243.02912113,8794.97298522,8604.10701714
