"","men_Pt004_RPLCneg","men_Pt007_RPLCneg","men_Pt008_RPLCneg","men_Pt010_RPLCneg","men_Pt013_RPLCneg","men_Pt020_RPLCneg","men_Pt025_RPLCneg","men_Pt027_RPLCneg","men_Pt047_RPLCneg","men_Pt060_RPLCneg","men_Pt063_RPLCneg","men_Pt068_RPLCneg","men_Pt074_RPLCneg","men_Pt089_RPLCneg","men_Pt095_RPLCneg","men_Pt110_RPLCneg","men_Pt116_RPLCneg","woman_Pt003_RPLCneg","woman_Pt005_RPLCneg","woman_Pt019_RPLCneg","woman_Pt022_RPLCneg","woman_Pt032_RPLCneg","woman_Pt036_RPLCneg","woman_Pt038_RPLCneg","woman_Pt044_RPLCneg","woman_Pt055_RPLCneg","woman_Pt058_RPLCneg","woman_Pt070_RPLCneg","woman_Pt085_RPLCneg","woman_Pt086_RPLCneg","woman_Pt087_RPLCneg","woman_Pt092_RPLCneg","woman_Pt105_RPLCneg","woman_Pt113_RPLCneg","woman_Pt119_RPLCneg","woman_Pt122_RPLCneg","woman_Pt123_RPLCneg","woman_Pt164_RPLCneg","woman_Pt170_RPLCneg","men_HCW011_RPLCneg","men_HCW012_RPLCneg","men_HCW036_RPLCneg","men_HCW059_RPLCneg","men_HCW067_RPLCneg","men_HCW237_RPLCneg","men_HCW282_RPLCneg","men_HCW564_RPLCneg","men_HCW574_RPLCneg","men_HCW578_RPLCneg","woman_HCW002_RPLCneg","woman_HCW008_RPLCneg","woman_HCW019_RPLCneg","woman_HCW035_RPLCneg","woman_HCW045_RPLCneg","woman_HCW080_RPLCneg","woman_HCW099_RPLCneg","woman_HCW103_RPLCneg","woman_HCW105_RPLCneg","woman_HCW114_RPLCneg"
"Label","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC"
"483.3164@411.17","16165.21307","34949.70387","23608.59009","13113.81492","17705.29238","27218.21838","15566.78423","20690.53764","3334.78345","21694.49213","16719.59474","26503.6466","18897.9651","20246.77274","24201.64675","23904.67109","30486.66457","29124.18892","26453.26298","21337.61288","19720.24301","25506.61145","12036.26738","38118.25618","30170.96555","16847.60433","37947.57846","33234.33237","13583.75125","18236.35043","15834.78773","22421.94909","7140.76298","21201.51968","34102.14151","26223.69242","28166.3149","19374.12996","41098.71418","28762.96383","6977.66018","32622.68812","27482.85668","23733.87128","17003.00029","34277.08167","33276.0917","32683.0361","32921.40321","21378.23885","26462.63072","29265.30256","5754.91843","30419.86495","25079.46527","26205.11272","36169.79278","39489.89864","30980.91734"
"483.6378@636.8","27690.55372","25404.15638","28337.21656","10084.60348","4886.02825","29981.27001","18081.03498","28053.94688","28750.26034","27909.03603","18951.52556","24914.63029","1745.64289","4956.79123","27685.73954","28422.84995","25727.81048","24326.79535","28116.51901","1969.84053","2406.13849","21608.36788","27791.36482","27109.94516","26338.10831","14288.46622","19071.5168","26643.76466","26377.43736","13933.07206","19171.0064","29018.59026","26870.60558","29150.49862","2887.49475","29253.43715","25884.51655","27562.26749","29755.79637","13283.06158","27216.87419","11914.74675","16211.6858","23296.06886","26369.57106","26619.77703","26234.72524","23305.65615","28083.77528","27151.35646","25477.81317","20789.77395","29511.03003","25125.68306","27661.93328","623.44534","27300.69786","21038.06018","26379.55049"
"484.6381@636.82","12283.73575","11687.86242","13202.21258","4455.7639","4217.88853","7763.94141","8157.26435","12557.57248","12598.76147","11874.51014","7716.40546","11188.98949","757.98008","2739.89271","12743.82681","12181.94199","11265.29831","11271.43984","12606.68102","823.53058","1247.8963","9914.12507","12118.03786","10492.57591","11256.2916","6761.60574","8567.98215","12264.30465","11944.90731","6029.65142","8344.37391","12106.65938","12063.1745","13564.14876","1276.28054","12722.10142","10036.02797","12330.65391","13663.9737","5948.7853","11618.06153","10429.58069","6878.28685","10834.8455","10811.63069","12827.26276","11725.0129","9698.84856","12900.05436","12061.5097","10736.59943","8636.10814","13405.74112","11230.46189","12265.7414","538.48257","12316.94741","9461.70826","13275.99363"
"484.9985@239.96","14731.58964","13988.03136","14964.13387","17335.91342","17859.37502","15149.93903","16029.89671","16147.8976","15314.85552","14985.45798","15866.18179","14299.45917","19676.63237","18478.84808","14133.6438","16019.68459","15175.23397","14523.70517","13798.71097","21864.75663","19421.5545","15009.76472","14185.38319","15820.03144","14665.21221","16595.37058","16664.145","14791.27563","14943.62152","15625.76338","14348.03832","15341.04176","16037.10299","15569.78788","19700.60218","15837.95629","15134.44108","15811.94136","15664.66907","16847.00422","15499.00698","14778.41492","16318.08099","14359.0281","14891.00719","14912.4827","14212.95724","15182.91683","14960.33689","14058.79205","14478.56814","14898.68986","14615.45246","15180.82352","14008.79273","21541.32724","14353.28284","16251.31716","15017.93845"
"485.2711@566.8","8554.69027","8053.49124","7433.33279","4067.3351","3490.08934","1564.45097","3786.00831","8327.68623","6887.72024","8136.51171","4278.09069","8377.1607","2924.78556","3933.13939","4950.62328","2746.90346","9158.93577","4347.51548","2413.95454","4047.75233","2243.71682","9381.07911","10264.45838","7164.9658","9549.87111","5923.54293","6464.52471","9823.44344","6956.71755","5143.15707","4007.43008","12328.81549","9954.87601","5342.9137","4684.09597","24660.12446","8138.66794","8210.74291","10105.29978","3977.62012","8731.67205","7123.09012","5307.03295","5662.76509","6751.04124","5087.48774","6458.74516","7537.70058","11078.25915","751.76804","8156.28864","2766.93186","9782.43943","9567.413","781.47755","5183.0567","1364.01471","5256.70681","9469.38655"
"485.3831@383.03","42089.1438","9335.24766","43714.83366","6741.84819","9427.4993","121140.98722","22276.54149","30243.55765","9568.16666","14035.93887","4706.69762","47019.52637","14630.62436","20954.08339","10520.83138","13103.91136","14976.68478","10212.63644","132429.73501","5185.8005","7567.68226","39422.15533","13949.68757","16417.95496","23353.00704","12473.89799","18719.89301","32562.90238","614.73118","3953.01173","4857.6057","2035.64749","1846.91164","37071.4829","1408.99673","33323.20954","35312.15472","17659.16953","29875.7877","36778.25112","4776.52556","84766.87854","39859.4569","69828.81235","12182.15664","21683.62145","146122.25031","118635.35837","68705.02236","10997.98383","37885.13605","39082.6086","10348.52068","26928.94024","10152.73972","14113.00745","73896.56036","67004.19801","47271.65294"
"485.635@636.82","14500.24081","13919.33342","15665.89562","5049.03461","4911.76957","15650.53726","9506.96246","14748.20483","14637.82484","14556.67125","9402.00816","14203.19805","1809.09521","2525.70237","14994.23557","15049.76238","12338.43959","13393.70128","14628.26306","274.73251","1852.48335","11423.99798","15599.78978","11707.74134","11630.91544","8217.23273","10763.21047","14039.80204","13103.9715","7960.85709","10065.67423","16145.68151","14017.02588","15269.94217","768.96543","14587.48572","13642.49487","14817.56327","15760.98919","7531.84942","14546.58895","12295.37815","9648.51927","11847.12441","13736.0972","14534.06315","13399.3634","11783.08016","14221.46585","14175.9229","13456.8288","11293.45448","14987.40034","12904.42832","15493.83028","502.91223","13860.15079","11365.25519","15288.29011"
"486.6348@636.9","5885.59592","4226.30482","6065.70846","1669.97514","1290.42323","6162.95872","3412.31334","5913.33059","5590.86777","5599.04386","3051.67049","5769.67161","420.45712","961.00843","5745.29657","4138.21969","4203.69694","4379.73996","6031.78362","197.37687","618.08237","4266.99367","5222.31785","4486.1471","5246.54853","3361.29008","4099.04735","5215.83197","5276.94009","2698.83879","2182.56131","4634.62044","5648.35636","5490.24803","408.50426","5478.37869","4760.32581","5809.67872","5042.22578","2832.9523","5837.31352","4836.76578","3915.60908","4642.09796","4702.82057","5387.5828","5240.32538","5148.27004","5708.37131","5245.65739","5621.48498","3047.21671","5997.05555","2960.14035","5184.18126","285.40918","5732.29964","4418.63695","5319.17114"
"487.2265@480.99","13716.25385","12489.19567","23819.7764","20682.4798","16988.61601","16407.02795","17630.62431","20301.38212","22300.66215","15402.00342","17165.69591","11941.9084","12561.99167","17498.61399","16267.22784","20041.15603","14543.57752","13240.98144","8575.21245","10425.23072","12892.98479","14646.68261","15282.42003","12292.89925","17744.49691","21631.51236","10992.11126","11252.5633","17231.01648","13730.02087","11737.71668","13415.93109","15723.68739","6278.92433","12437.60144","13866.6625","16261.52302","13950.15545","12887.44205","21872.89548","17166.9698","9001.14565","17197.93785","15206.1251","14543.7937","16639.21838","19887.15145","9134.36916","12124.76769","17890.0268","18780.6643","12518.98615","26200.83852","17258.01882","26483.62429","17151.58759","20141.75376","13572.4426","23810.97117"
"487.304@198.32","30217.77101","31188.55005","26325.76369","25257.89082","23964.0665","30225.08243","25149.88523","42192.23203","21438.61911","28810.07547","27724.31994","26592.23663","22066.46375","21416.0559","28318.24312","18406.02237","25846.48819","42350.96092","30734.65287","27274.57101","23867.90008","27781.10847","28181.96812","36654.07235","33106.7033","26973.97942","30905.92548","29095.27843","22834.2893","17916.01341","17400.48221","25843.131","26473.37936","85445.23985","17459.3835","29870.57776","25590.57811","30084.43097","31198.56802","23076.43923","36704.78495","26282.73068","25680.08376","25824.236","24171.44259","27074.55776","23916.32306","25407.85456","30607.30423","23309.0079","27400.62927","23143.60128","22851.33648","27315.3475","24589.51405","23795.12158","24089.16222","23675.32748","26481.91753"
"489.2762@439.07","54001.31838","56600.53979","52204.24335","77214.64333","78784.05089","60472.36551","55262.93505","63915.41702","29323.50039","51153.03474","53560.40507","56975.11136","88090.0897","78681.72358","54857.54996","47415.17499","53764.21414","66263.7247","68362.36963","91726.80441","80510.72747","61004.7119","51464.00904","61606.54829","60849.90697","50607.16967","76702.95878","60938.74731","43139.62999","71407.60858","65084.87334","52263.5738","41977.98994","65620.75772","78859.31759","76566.46186","54272.06069","53777.90046","61826.07907","62901.64456","38803.69904","63525.80001","62653.03293","63992.3676","44477.47523","52503.3761","51511.69623","63641.08439","68117.55487","46110.70897","54345.75575","65194.595","35889.85683","55130.6294","47166.37959","86490.1023","58279.56109","74508.26463","52825.40833"
"489.3961@512.43","111605.10789","98834.8466","111056.26256","152555.12732","86277.23337","96353.28259","119392.74567","112665.9685","96740.29486","55103.02545","130513.58821","99403.84601","134854.66931","146338.81768","119603.61181","98446.13787","59667.7368","104061.48947","89164.4026","65932.49808","78649.41049","108641.63155","52286.47169","109115.57087","92133.8743","144838.7007","57345.89625","78322.06549","71034.09988","114806.96336","107845.09651","86128.09788","91130.62541","56727.30116","66864.73352","85432.42791","55466.08593","45179.77609","91668.4341","162135.33374","92807.26856","77683.92088","74885.67084","122129.23757","87702.76391","110014.73649","80078.15377","134740.6711","76491.44001","48601.36364","92199.55637","112126.87482","101576.77003","125439.23761","109534.21189","153738.239","77322.18236","116720.31593","94381.84456"
"490.9682@653.97","18246.3527","18602.92498","17498.30117","18649.02567","19155.04313","19341.28656","19240.88247","19899.58173","18441.4581","18572.34621","18765.68899","17237.98118","17516.07314","18595.79966","18481.72744","18743.40505","19077.63245","18399.20661","18964.43806","15838.19497","17462.11862","17692.1776","20059.03311","18665.82124","17289.18411","18227.10875","19236.97144","19405.44228","19319.69158","17721.81514","17560.46967","17649.66493","17757.95306","18831.16758","17934.4602","19385.55968","19600.08553","16250.53562","18621.37255","18473.60776","18973.64875","18988.53217","18180.53713","17755.52279","18507.96272","19177.90814","17965.81836","17595.82857","18073.60372","18986.25659","17644.37244","19049.26716","20175.11869","18776.24067","18698.85571","17523.43153","17888.90679","18904.92115","17865.21746"
"491.2375@411.44","36229.84703","50390.3396","46444.08088","32442.35718","38883.16366","44524.9213","37224.03567","41923.01515","17243.13071","42431.99155","38427.93246","45197.07813","40597.00247","39981.39169","45187.87716","44304.77861","51375.51395","49047.95933","43895.51414","43380.53145","40928.37719","45402.88013","33843.48008","55102.7257","44762.51755","37251.79739","53963.8228","49288.11858","34055.365","39894.9434","37863.64298","44920.78878","26997.90034","42914.3645","48272.72586","46720.10172","47856.54912","41282.10791","57029.88595","47719.08951","26081.74724","49017.89517","44909.67131","44054.58243","38484.42093","50836.99154","47577.79557","51620.70555","50394.6845","44909.43417","47465.11875","46444.06607","25336.80026","68968.92125","45223.18172","46501.81305","48201.76759","51790.55102","49497.07814"
"491.3581@519.99","746371.93736","743200.40049","765589.66407","989613.28636","1234524.11803","733109.28665","890280.84616","913762.69646","970126.9711","783208.39577","861682.61433","1171940.23689","1023084.09505","1010284.19571","805854.63386","1015453.22745","823381.55591","870769.28451","741706.87713","906429.71902","1316714.24228","888227.39773","809883.57414","843116.81995","750573.50456","866285.08225","1073562.00636","767057.88984","1016897.26012","916140.68278","794417.95685","996557.05068","794284.38725","1028898.01439","940134.27701","741537.64722","802584.06422","1027764.59092","739059.69808","935913.52153","1006832.15583","758879.08007","882049.74464","1241117.29909","1063875.21176","884145.5396","836989.71804","856118.24785","715028.34012","986035.60506","798384.56198","953519.75789","928013.31417","776794.46439","1007757.19788","1093560.72387","677193.93805","892050.15313","720552.54419"
"492.308@459.74","9225.20801","18386.06001","16660.91547","7834.03921","12558.11242","16048.96082","10486.74034","13766.4108","2597.74936","16956.13218","9261.32073","13506.51531","8663.30944","11227.97036","8980.40466","14089.44337","18192.09999","19528.08792","12812.73062","13444.86485","11096.3372","16127.20648","8542.10791","20993.71164","18161.25875","9050.37219","26972.30488","20677.72089","9035.18536","10003.14202","9490.36781","12963.90657","4683.25412","10320.22787","20027.98171","17781.56672","17436.69917","8631.37038","23829.27061","20899.85883","6752.73136","20383.07773","15712.59489","16354.94761","12352.11692","23556.34525","29692.0762","25707.38013","23567.75644","14233.35562","20083.19619","19034.24061","5254.0186","15196.18398","19673.19781","9240.02118","29618.73481","28983.78104","23164.30524"
"492.3452@431.83","43506.3299","73666.63049","57212.61166","44492.92477","61640.09615","69712.64388","36871.63066","64629.43496","9944.08273","68858.9299","39094.11386","52370.85062","26693.68011","47272.77687","44972.62433","73209.93077","87061.41926","80030.2047","89630.94998","37132.88239","61642.24943","47530.78576","43017.11224","50728.63561","75928.78796","63561.34183","94663.34184","71055.9429","21565.95771","67178.40997","44739.1341","74934.3184","24266.36841","49571.48757","93657.89652","76480.78893","68886.26671","51284.70854","86818.60715","83084.94374","17718.42074","69319.89995","60685.02532","60887.99875","25948.64234","68098.23724","98038.54466","86277.32","93798.31507","49967.40936","53326.37734","57312.19331","13352.1424","39611.88145","67631.83551","42126.43463","116663.06951","100307.40179","85612.34395"
"492.3603@520.01","264464.02424","331875.38846","321132.94719","306710.10992","297017.5215","210947.78576","323945.90642","351889.07249","351357.25814","260003.44213","280208.57906","391174.69334","379601.82678","392453.6534","309534.74031","344039.06265","293636.03319","382264.49138","267058.07492","354058.02666","348090.84085","330876.69006","258367.58739","284358.81335","316478.81004","326882.04085","342269.20782","379118.84685","358923.45836","301902.76386","366288.15328","254728.0672","317632.94193","358372.12458","339519.83287","307275.47529","278364.5516","369764.24167","282520.55128","402222.40257","317507.16339","276931.64368","289582.31751","292216.16098","371854.13492","314801.60735","284330.45421","439974.85843","224219.52647","277399.09789","380145.52622","359900.13136","340819.19009","397912.67612","259319.07986","481211.72004","244013.11064","415157.88968","365154.20164"
"492.9884@423.78","75836.65791","66796.85864","70742.23308","91566.05917","101937.22975","57335.94822","86957.65433","64358.59206","60557.90658","63926.73221","88693.47724","63759.89801","101912.72548","102340.40641","70453.01566","63893.54443","65583.14267","70564.26024","66846.28674","104343.46802","101772.76298","73484.34048","66185.37016","66445.00265","54953.58375","94516.58073","84162.6086","66513.41184","63553.74119","84531.41907","77050.05797","57128.96603","60489.29622","65516.92629","106715.72681","60896.8929","68703.32736","64550.79678","62068.48174","94022.71858","61224.57064","83580.32589","80991.94404","71426.43095","67634.58591","71520.35218","65743.19546","80663.05929","60125.93602","61359.85094","67013.63935","78878.58119","56164.70587","69327.39548","60698.39196","123468.65039","59351.01732","83451.48846","63037.09725"
"493.3651@519.79","70591.83159","76739.53638","57507.3755","74815.98755","73737.41891","94895.63078","82158.07448","56883.50662","44607.77061","64328.88973","107795.52739","58811.19378","103272.37848","99874.3425","70646.38085","108218.2488","66532.21588","80497.10986","72855.50488","56410.51075","75139.62081","100911.25527","48314.34307","81754.91017","63711.29586","84484.14881","62264.75616","68281.24999","41145.49248","40220.50352","57649.65497","54932.37149","53470.83751","48688.96722","44429.6203","68849.84732","64188.9219","114393.74767","66590.43254","80894.58504","119935.45229","56154.32048","89904.62375","84784.9398","56953.27069","69304.62031","46047.63884","42817.69866","36440.46821","60119.54923","55725.22377","71730.9607","62801.7709","81357.83366","88070.64277","189170.24462","42888.03842","57016.56174","45427.24401"
"493.3864@488.11","1054908.67053","851569.74047","734687.37426","28882.73152","37898.54663","80752.30076","360700.1173","55333.36094","102623.01222","349926.53932","513837.85485","1748490.27071","727433.96465","38525.24521","603232.81068","30280.43349","1117975.78691","444660.98751","2021135.94667","86741.83696","728627.97545","804473.28349","25823.31856","187320.07171","285229.79227","103019.22918","162194.67722","773597.26193","30922.16622","99348.26989","69552.69847","166920.75183","57055.99342","211319.1161","72883.79742","547021.65423","714446.77228","220787.53103","569540.49998","1087235.34422","18007.86704","1506325.59408","50301.21871","1461169.27365","228094.72994","638647.36848","768035.20705","1256107.22763","1657368.22596","126462.85809","1061617.79986","576523.62372","136970.32848","981493.86861","110047.6354","364460.84819","252725.34217","1302950.87679","566815.95017"
"494.3235@411.26","8165.90721","99960.44134","6712.02683","7580.23628","8133.54305","81587.9485","48695.23482","64142.78548","14120.36879","68732.95896","49330.24566","73880.19102","57410.93576","8887.93874","75189.21497","74338.98188","97846.44399","87185.297","80382.75001","7941.79845","7875.44143","72846.13215","39793.36498","106149.75301","94153.84488","47550.50882","108520.80373","118523.997","4645.54546","39568.01321","6167.43","71525.73351","29131.26299","70038.91407","90823.67101","101155.99574","88385.67037","74154.28242","114414.41775","83414.25601","41330.69125","93342.49624","77611.68473","70105.93764","53625.80852","95228.27284","94554.02035","99811.2215","99164.14253","71594.79458","168394.91364","89900.64314","27416.85637","88983.45101","79274.01265","73568.43309","108023.03646","7220.5055","95152.58281"
"494.3612@473.74","42850.01181","88149.40299","56169.45178","42471.61964","43098.12517","40984.79817","38140.8137","48455.67796","13516.63264","80506.97976","44582.60464","36869.52923","44357.08037","63620.23662","54446.79247","67505.72226","111883.64638","46438.03091","40208.36319","39809.37097","58560.83327","33867.37095","45397.35667","45679.84835","70187.06821","28803.1051","85100.17118","63523.2475","20068.776","59557.41166","36290.33833","58303.42481","20140.11304","46147.02406","104430.22388","54231.77136","55413.69498","41572.89787","65478.74039","94831.20952","12927.15747","62946.24748","69131.80689","66624.17072","30028.12796","56267.51461","96584.404","103510.44163","98684.1754","69025.0934","56976.72305","78174.38916","12274.70772","37796.91221","68480.12819","22172.91975","110156.15574","112055.72143","70761.63833"
"495.2239@459.85","13332.8495","15150.18615","16251.46442","11178.167","15755.16066","14090.05215","14000.59676","13738.98469","4586.68","15779.71401","14413.28485","10833.32485","12030.39442","15372.64905","11723.70265","12656.69498","15302.00448","15353.87813","10951.58727","15518.6567","14068.54615","15532.84404","8734.75705","16963.87761","16266.40748","14065.62198","23405.50542","12901.70057","8408.06137","13053.24601","11298.6131","13226.26621","7101.94414","11386.87782","19895.3936","12757.37833","18451.79498","12460.39012","19163.15836","20861.75613","8786.66543","19533.72398","15561.86488","15383.89474","10639.87608","18633.67446","19927.13418","18093.11668","16368.28092","12229.34045","16036.75175","15320.43653","7270.02493","15638.03446","15777.08283","12740.53988","20074.55733","16999.01753","21767.33251"
"495.2714@411.19","21158.42396","26969.0774","32203.88305","11300.16838","23593.57915","34590.8612","22077.9234","18889.6049","3979.51013","27320.46399","21130.92581","19881.74893","25029.03102","16256.63771","32405.21271","20787.71178","43493.78019","22734.53642","36613.80447","28185.82769","26949.67739","33138.70003","17250.53673","50819.90826","39329.17569","19687.84499","48437.48578","41326.87643","11724.17749","23551.91938","17775.79702","28348.08078","10347.02391","33385.19287","43774.52072","35058.16022","23307.36885","24071.30449","53066.16346","38100.5725","7863.37554","42684.03488","22595.71508","30960.61224","21536.88377","44910.49775","43387.13363","44903.94235","43901.77305","28730.18777","37110.8617","23770.19117","10128.54548","24791.80863","33504.77902","21191.20828","47240.20955","53990.11312","40597.06998"
"495.3454@477.46","92102.93629","60621.7291","41819.08366","121585.22417","26444.66913","276850.13257","32991.21501","63529.566","14855.29977","9544.24265","52078.48177","58541.67459","58080.22377","46313.56734","35355.97322","42852.4805","86665.33188","97089.01859","122758.1024","14320.69832","39839.47092","34202.4789","95794.53777","30531.8008","28672.08066","16919.52496","29975.13993","67093.91224","7455.55071","19828.79766","30422.76326","29950.19506","16003.66715","10582.77079","30110.40083","33382.09702","55482.31266","13523.58713","53498.64812","43490.32058","39395.81172","143177.72455","25401.11582","162279.30268","15843.43823","141298.08149","28486.24948","48355.29447","45381.72284","18824.96213","31048.08271","30675.13569","5988.91052","140212.3179","22652.95092","10081.02098","107250.42339","56037.38418","43878.99546"
"495.4041@641.45","26428.40496","17073.92927","24555.70434","16764.32381","10100.09271","60887.07137","9572.50438","3887.62741","3254.56468","8568.08851","7865.61467","31588.43926","11652.28399","11984.78501","10660.13116","6829.14205","20876.99273","11828.80391","100653.0003","7325.91147","4828.6807","23134.47466","3720.91522","6036.76218","17790.24833","5029.84333","11863.61736","30823.53761","1780.33871","2281.64097","5779.37472","6154.55397","4404.0095","2287.76301","3900.16691","16553.42108","16681.49108","6923.3008","26133.29577","24858.45544","7628.7095","66437.62192","19503.39486","45918.90566","8853.21276","16025.02217","46743.30719","36867.04416","31972.8279","6911.34825","22298.00658","28925.01051","10697.96521","20208.31029","6534.32398","10775.2264","57229.87507","43420.07036","19527.4913"
"496.2448@506.03","6040.19697","5159.75452","9483.23974","9285.33279","3499.88971","7218.42671","11661.67608","5492.41478","1590.72024","19292.18335","8125.16948","3801.45917","6015.80472","6632.86694","16706.66212","9269.04801","14356.15087","7397.38986","4354.62662","18390.28771","19712.62688","13289.71274","18909.17326","1836.40746","15973.4317","14206.05393","4542.14171","6660.27739","6566.68241","22340.03784","2398.55423","14981.70462","3052.80057","34539.06714","9636.03643","10612.94985","7156.46309","2593.49545","13319.80764","28605.59335","2439.14225","30054.36873","33649.42216","39401.81748","3900.30442","19858.85748","11473.34201","10349.35997","70195.32478","27117.55501","2908.47698","3994.0168","3670.14175","13795.84568","31053.87703","1811.29534","52668.82579","5598.08969","35142.06726"
"496.2781@459.84","2968.45462","6712.04875","5649.61276","2851.45296","3983.31442","2264.80733","3262.80229","7522.16339","838.16343","9876.41861","2183.00844","7451.76649","2942.22267","2915.17485","2870.25429","8336.26068","11403.3994","2399.53853","8333.24085","4432.70242","3934.93227","5481.59638","3283.67291","10483.0639","2645.83411","1987.19094","10026.02075","12134.05789","4160.6523","2239.44139","3394.82134","4338.39355","975.82948","4296.8555","2983.76085","3833.45711","8977.45705","2442.78469","8088.33943","3203.58965","3515.21791","3009.08951","5683.16522","4307.29628","7032.50189","2629.0298","14081.45602","2711.05099","8601.69398","5540.85569","6364.82281","4792.02472","1413.90379","5109.48236","6495.06559","3552.84422","2802.12012","10148.0333","7499.68062"
"496.4074@641.4","7739.81208","4719.70813","7393.91963","4462.62494","2423.48172","18904.52772","2485.25231","1026.32159","725.08314","2577.96012","1991.94093","9846.29986","3131.63563","2810.13361","2771.39368","1062.05568","5519.26872","3189.09223","30237.02708","2107.63386","4822.95853","6883.84073","230.30143","1522.88128","5611.02315","1285.92361","2984.59864","9487.77559","696.19412","680.60283","1478.8981","1528.39887","920.32386","517.38572","792.77802","5098.55739","4559.44749","2181.15481","8044.86836","7653.9117","2205.51842","21393.24957","5794.88513","14788.97092","1808.4773","5134.46734","14575.95113","10962.36613","8353.69466","2088.89271","6278.22351","7953.81319","1207.02741","5397.03865","1043.80989","2337.68479","15854.44215","12882.13901","6421.13429"
"497.1661@290.11","17411.62316","19997.71059","17977.80929","22098.24237","17064.81555","50709.50286","14387.50885","40832.11632","44097.0979","35997.68229","15723.49538","27639.98345","19047.65343","18638.67875","26652.31235","35474.07701","29898.2944","21226.19292","29707.3547","26977.86009","18185.15369","18657.72139","24560.76293","24054.22205","53483.1504","16525.65087","24112.67992","33646.93729","33685.58134","13700.591","14848.32592","70359.32929","52129.929","40646.07579","19571.43612","59598.66338","25220.20385","42559.95565","51127.72623","14824.94296","37872.21031","22329.37706","16247.33886","16707.61149","27434.74946","17267.12323","27691.63772","16106.32189","51787.26901","37416.18998","43199.14991","18303.71275","49767.97574","22714.81502","44764.63625","20998.71494","47194.30304","17043.13345","45869.07922"
"497.3257@420.05","16587.87658","21592.05583","16902.95892","11732.44688","12452.46542","24511.0914","13038.22637","18990.74839","18321.25072","21694.71605","10398.48497","20654.23413","11056.01141","11458.08815","15622.00862","21456.82785","23209.46108","21266.21979","23319.52125","11411.01259","11888.16567","15821.10038","17665.35216","21192.24349","26899.42845","13373.73385","17659.25779","24689.41497","19260.6131","14889.34007","14951.96681","22606.39053","19637.24188","18700.34448","12155.9845","26490.25798","21252.82639","23424.91446","25849.90384","16043.79636","19447.71624","18087.66434","14489.79034","18389.9319","17934.10813","18962.48842","23831.58762","18938.96281","27785.28889","20582.68805","19786.35498","19867.05352","20343.24654","21436.5073","22795.1131","11976.14199","27395.76933","18880.6179","22950.25785"
"497.6309@636.48","15717.01289","18228.48405","17716.69","2423.983","1198.4432","31298.8744","5502.81504","22397.41293","27353.1448","26266.77859","5171.2393","20840.83685","256.79309","408.16807","16507.49222","25751.41795","24446.65328","17372.41032","23326.62504","302.32933","342.56558","11888.66699","20915.97637","20224.2222","27714.83734","2737.14207","7481.43174","23835.21873","24191.74414","3740.33688","9441.09185","29977.48822","28056.81058","19809.32804","288.35785","31790.98533","19480.21945","25191.15766","29827.27268","3387.10214","25008.0984","10467.37968","3508.78412","13147.8609","23200.87735","17997.54189","23280.77041","11277.82506","31313.33658","25923.94986","24504.84189","11674.11137","29938.14637","15322.77497","25373.95808","157.31812","26535.095","9316.53369","26679.25754"
"498.6315@636.49","7040.23058","8571.87087","8602.99081","591.77934","615.89094","14146.68488","1995.74077","9988.71935","12613.55955","12828.19939","2630.31484","10037.12862","142.23398","285.6992","7739.53074","11809.44157","10560.26726","7818.07022","10885.25422","71.75381","235.60856","5201.54631","8595.20582","9874.86827","12675.34007","1410.52351","3720.03509","11030.63435","11751.19891","2220.07447","5258.70125","13991.58281","11733.62937","8574.27961","217.27306","14579.75899","9026.34086","12332.85174","14899.17034","1714.47154","10837.18453","5158.03703","2332.13573","6593.06908","9943.93639","9018.05217","10687.09911","4607.52991","13675.90078","11376.17821","11332.17354","3956.06918","13692.63067","8170.81799","11292.70625","102.06458","13417.30267","4215.93654","12660.6469"
"499.2429@421.41","2757.67438","6444.91754","3417.55709","1544.76453","2190.41111","4842.52061","2200.07541","3774.55341","848.44706","3509.46917","1794.41736","3757.88289","1780.03502","2203.70361","3780.84203","4969.79598","6596.65118","4757.29654","5036.87201","2483.86358","3058.72726","3139.89713","3191.1654","4217.67096","5878.11599","3172.31367","6597.96456","3593.91636","942.84926","3941.88649","2463.29007","3979.57196","1257.54786","3392.95427","2449.80688","4327.47251","5287.18038","2987.65175","8430.12368","5938.48974","1938.80876","5020.23971","3742.11189","2595.07289","3100.0674","6717.0639","7818.06211","5595.28947","7893.98719","3493.32608","4032.59662","5807.80916","1739.99753","6450.83559","7068.05075","3852.18055","8746.01718","7366.00996","4503.04832"
